created_at,stage
5/13/2015 6:27:24,0
5/12/2015 16:01:03,2
5/12/2015 6:38:56,0
5/11/2015 17:31:20,2
5/11/2015 16:39:28,1
5/10/2015 21:53:41,0
5/10/2015 9:59:20,1
5/10/2015 9:58:12,0
5/10/2015 7:02:22,1
5/10/2015 5:46:30,0
5/9/2015 22:03:57,1
5/9/2015 22:02:53,0
5/9/2015 21:10:41,1
5/9/2015 12:01:08,2
5/9/2015 9:16:15,1
5/8/2015 20:52:59,0
5/8/2015 10:10:33,1
5/7/2015 21:35:54,0
5/7/2015 16:59:44,2
5/7/2015 8:39:13,1
5/6/2015 21:44:25,0
5/6/2015 18:06:03,2
5/6/2015 16:18:11,1
5/5/2015 21:21:10,0
5/5/2015 17:07:16,1
5/4/2015 21:27:55,0
5/4/2015 17:02:00,1
5/3/2015 19:52:04,0
5/3/2015 16:59:24,1
4/29/2015 20:37:30,0
4/29/2015 18:02:12,1
4/23/2015 21:41:56,0
4/23/2015 20:12:34,1
4/23/2015 18:00:11,2
4/23/2015 17:00:10,1
4/22/2015 21:46:45,0
4/22/2015 16:59:00,1
4/21/2015 21:49:12,0
4/21/2015 17:03:05,1
4/20/2015 21:50:48,0
4/20/2015 17:04:51,1
4/19/2015 21:11:44,0
4/19/2015 8:07:47,1
4/18/2015 21:46:17,0
4/18/2015 9:26:21,2
4/17/2015 22:39:21,0
4/17/2015 10:01:13,2
4/17/2015 5:58:02,1
4/16/2015 22:03:03,0
4/16/2015 19:06:22,2
4/16/2015 5:59:56,1
4/15/2015 21:18:22,0
4/15/2015 16:05:32,3
4/15/2015 7:43:26,2
4/14/2015 22:02:37,0
4/14/2015 20:57:14,2
4/14/2015 18:01:35,3
4/14/2015 6:35:38,2
4/13/2015 22:14:40,0
4/13/2015 16:00:50,2
4/12/2015 22:01:24,0
4/12/2015 10:03:25,2
4/7/2015 21:01:14,0
4/7/2015 16:35:21,1
3/26/2015 22:00:11,0
3/26/2015 12:00:49,2
3/25/2015 22:01:10,0
3/25/2015 16:09:56,2
3/25/2015 16:02:58,2
3/21/2015 21:01:31,0
3/21/2015 18:41:58,1
3/21/2015 9:02:44,1
2/26/2015 10:11:34,2
2/22/2015 20:54:49,0
2/22/2015 16:24:17,1
2/21/2015 22:01:36,0
2/21/2015 8:02:04,1
2/15/2015 21:59:25,0
2/15/2015 12:00:57,1
2/15/2015 8:00:46,2
2/14/2015 22:07:15,0
2/14/2015 21:43:52,0
2/14/2015 8:01:21,2
2/11/2015 22:48:17,0
2/11/2015 18:14:27,2
2/11/2015 14:13:57,1
2/10/2015 22:01:15,0
2/10/2015 18:00:21,1
2/9/2015 22:03:28,0
2/9/2015 16:01:14,1
2/8/2015 22:10:46,0
2/8/2015 8:01:35,2
2/7/2015 22:03:20,0
2/7/2015 8:06:06,2
2/6/2015 22:04:02,0
2/6/2015 8:05:00,2
2/6/2015 7:00:07,0
2/5/2015 16:12:33,3
2/5/2015 8:00:56,2
2/5/2015 7:00:24,0
2/4/2015 14:45:34,2
1/26/2015 15:50:32,2
1/9/2015 11:47:19,1
